barid,region,dsid,nproj,cost,prepass_co,prepass_ch,prepass_st,prepass_ct,prepass_cu,prepass_fish,prepass_agrinf,postpass,s_co,s_ch,s_st,s_ct,s_cu,s_agri_current,s_roadrail_current,s_inundhab_current,s_building_current,s_publicuse_current,s_agri_future,s_roadrail_future,s_inundhab_future,s_building_future,s_publicuse_future,coho_salmon,chinook_salmon,steelhead,cutthroat_trout,chum,agri_current,roadrail_current,inundhab_current,building_current,publicuse_current,agri_future,roadrail_future,inundhab_future,building_future,publicuse_future,barriertype,name,primarytg,dominanttg,exclude_reason,lon,lat
039Ats1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Fat Elk,0,0,landowner not in interested,-124.22910478,43.17654891
039Bts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Fat Elk,0,0,landowner not in interested,-124.22904806,43.17656143
039Cts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Fat Elk,0,0,landowner not in interested,-124.22899972,43.17658578
039Dts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Fat Elk,0,0,landowner not in interested,-124.22893086,43.17660141
039Ets1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Fat Elk,1,0,landowner not in interested,-124.22888267,43.17662331
100ts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.22114685,43.18690963
10145fs1,Coquille,15ts1,1,75000,1,1,1,1,0,0,0,1,0.0694925673483677,0,0.0905269986652248,0.083448479962958,0,0,0,0,0,0,0,0,0,0,0,1.04073223985124,,1.05097389132509,1.92029073520186,,,,,,,,,,,,Upstream,Alder Creek,0,0,,-124.28652286,43.14035302
101ts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.22095381,43.18441245
10245fs1,Coquille,3978fs1,0,75000,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Upstream,Sevenmile Creek,0,0,Stream barrier other than culvert,-124.33608635,43.17698942
102ts1,Coquille,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,Winter Lake,0,0,Replaced and restored. Winter Lake,-124.24036865,43.19279781
0ts2,Coos,46ts2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,Tide gate,,0,0,Non-primary,-124.1841823,43.42460819
100ts2,Coos,99ts2,1,85000,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00610639856478759,0.0183749655580349,0.00599922046387871,0,0,0.00798124875999026,0.0162010569584048,0.00704347034855326,0,0,,,,0,,10.7735013961792,0.047508280724287,10.7777738571167,,,15.217993736267,0.060866180807352,13.2900114059448,,,Tide gate,,1,0,,-124.2163056,43.48989397
10150fs2,Coos,10151fs2,1,150000,1,0,1,1,0,0,0,1,0,0,0,0.0182893158532831,0,0,0,0,0,0,0,0,0,0,0,,,,0.42086810690656,,,,,,,,,,,,Upstream,,0,0,,-124.14857013,43.42819757
10151fs2,Coos,46ts2,1,300000,1,1,1,1,0,0,0,1,0.097508010081738,0,0.125784494960372,0.132579666462942,0,0,0,0,0,0,0,0,0,0,0,1.46029616702869,,1.46029606731727,3.05088247620511,,,,,,,,,,,,Upstream,,0,0,,-124.17084258,43.43144802
10152fs2,Coos,46ts2,1,150000,1,0,1,1,0,0,0,1,0,0,0,0.0353917633896301,0,0,0,0,0,0,0,0,0,0,0,,,,0.814424365425602,,,,,,,,,,,,Upstream,,0,0,,-124.17352985,43.43142484
